id,course,subject_code
1,BSCS,CS102
2,BSCS,CS101
3,BSCS,IR001
4,BSCS,PED001
5,BSCS,CS208
6,BSCS,GE002
7,BSCS,NTP001
8,BSCS,CS311
9,BSCS,CS312
10,BSCS,PED002
11,BSCS,NTP002
12,BSCS,CS103
13,BSCS,CS214
14,BSCS,PED003
15,BSCS,CS104
16,BSCS,CS313
17,BSCS,CS203
18,BSCS,GE000
19,BSCS,CS201
20,BSCS,MAT004
21,BSCS,CS314
22,BSCS,PED004
23,BSCS,CS105
24,BSCS,CS202
25,BSCS,CS206
26,BSCS,CS213
27,BSCS,GE028
28,BSCS,FIL003
29,BSCS,GE001
30,BSCS,CS219
31,BSCS,CS204
32,BSCS,CS207
33,BSCS,CS106
34,BSCS,GE006
35,BSCS,CS315
36,BSCS,GE003
37,BSCS,CS216
38,BSCS,FIL004
39,BSCS,GE022
40,BSCS,GE005
41,BSCS,CS209
42,BSCS,EMC202
43,BSCS,CS320
44,BSCS,GE009
45,BSCS,CS205
46,BSCS,CS210
47,BSCS,GE010
48,BSCS,CSELEC1
49,BSCS,CS211
50,BSCS,CS317
51,BSCS,GE007
52,BSCS,CSELEC2
53,BSCS,GE004
54,BSCS,CS212
55,BSCS,CS318
56,BSCS,CS319
57,BSCS,GE023
58,BSCS,CSELEC3
59,BSCS,IR002
60,BSCS,GE025
61,BSCS,CS215
62,BSCS,GE027
63,BSCS,CS217
64,BSCS,CS218
